序号,土壤温度,土壤湿度,PH值,空气温度,空气湿度,光照强度,二氧化碳,氮,麟,钾
1139,4.0,21.9,6.7,3.9,91.8,1161,438,8,24,28
1140,4.1,21.9,6.7,4.5,90.4,1290,425,8,24,28
1141,4.4,22.1,6.7,4.9,88.3,1419,418,8,24,29
1142,4.8,22.0,6.7,5.6,76.8,1419,412,8,24,29
1143,4.9,22.2,6.7,5.9,83.0,1225,412,8,25,29
1144,5.2,22.3,6.7,6.3,79.6,1483,409,8,24,29
1145,5.3,22.2,6.7,6.2,85.6,1354,411,8,24,29
1146,5.6,22.0,6.7,6.2,81.3,1225,406,8,25,29
1147,5.7,22.0,6.7,6.0,84.0,1032,408,8,25,29
1148,5.8,22.1,6.7,6.0,83.2,838,410,8,25,29
1149,5.8,22.0,6.7,5.9,81.6,709,404,8,25,29
1150,5.7,22.1,6.7,4.7,88.5,387,405,8,25,29
1151,5.6,22.0,6.6,5.1,83.5,516,404,8,25,29
1152,5.3,22.0,6.7,3.9,88.6,193,411,8,25,29
1153,5.2,21.9,6.7,2.1,93.0,0,413,8,25,29
1154,5.0,21.8,6.7,1.4,96.2,0,421,8,24,28
1155,4.8,21.9,6.7,0.4,96.9,0,418,8,24,28
1156,4.5,21.9,6.7,1.0,97.2,0,416,8,24,28
1157,4.4,21.7,6.7,0.7,97.5,0,423,8,24,28
1158,4.3,21.8,6.7,0.4,98.0,0,426,8,24,28
1159,4.1,21.8,6.7,0.5,98.0,0,429,8,24,28
1160,4.0,21.7,6.7,-0.2,98.1,0,435,8,24,28
1161,3.9,21.9,6.7,-0.2,97.8,0,427,8,24,28
1162,3.8,21.7,6.7,-0.7,97.7,0,422,8,23,28
1163,3.7,21.5,6.6,-1.6,97.3,0,420,8,24,28
1164,3.6,21.8,6.7,-1.3,97.5,0,423,8,24,28
1165,3.4,21.5,6.7,-1.9,96.9,0,417,8,24,28
1166,3.3,21.6,6.7,-1.7,96.7,0,422,8,23,27
1167,3.3,21.6,6.7,-2.0,96.7,0,426,9,23,27
1168,3.1,21.5,6.7,-1.8,96.3,0,426,8,23,27
1169,2.9,21.6,6.7,-2.1,95.8,0,426,9,23,27
1170,2.8,21.6,6.6,-2.3,95.8,0,437,9,23,27
1171,2.7,21.6,6.7,-2.6,96.1,0,434,9,23,27
1172,2.6,21.8,6.7,-2.6,96.5,0,433,9,23,27
1173,2.6,21.8,6.7,-2.8,95.4,0,437,9,23,27
1174,2.5,21.7,6.6,-2.8,95.8,0,437,9,23,27
1175,2.5,21.7,6.7,-2.9,95.0,0,441,9,23,27
1176,2.3,21.5,6.7,-3.0,95.4,0,432,9,23,26
1177,2.3,21.6,6.7,-3.5,95.7,0,433,9,23,27
1178,2.2,21.6,6.7,-2.9,96.2,0,431,9,23,27
1179,2.2,21.5,6.7,-2.1,96.7,0,439,9,23,27
1180,2.1,21.7,6.7,-3.0,97.2,0,441,9,23,27
1181,2.2,21.4,6.7,-3.1,94.8,0,452,9,23,27
1182,2.1,21.5,6.6,-2.9,96.2,129,446,9,23,26
1183,2.2,21.7,6.7,0.2,97.2,903,441,9,23,27
1184,2.3,21.8,6.7,0.8,95.7,1096,437,9,23,27
1185,2.6,21.7,6.6,2.1,93.1,1225,457,9,23,27
1186,2.9,21.9,6.7,3.3,90.1,1290,428,9,23,27
1187,3.1,21.9,6.7,4.5,85.7,1161,420,8,23,27
1188,3.9,22.0,6.7,5.8,80.4,1096,419,8,24,28
1189,4.3,22.1,6.7,6.4,83.4,1032,418,8,24,29
1190,4.6,22.3,6.6,6.9,74.3,1096,424,8,24,29
1191,,,,7.0,79.3,1096,414,8,25,29
1192,5.3,22.1,6.7,6.7,82.9,1032,411,8,25,29
1193,5.4,22.4,6.7,6.6,79.3,967,410,8,25,29
1194,5.5,22.4,6.7,6.4,84.4,709,410,8,25,29
1195,5.5,22.1,6.7,5.8,77.7,580,408,8,24,29
1196,5.4,21.9,6.6,4.5,89.6,322,413,8,25,29
1197,5.3,21.9,6.6,3.4,94.7,193,453,8,24,29
1198,5.2,21.7,6.7,1.9,94.9,0,413,8,24,29
1199,4.8,21.7,6.7,0.7,96.6,0,417,8,24,28
1200,4.4,21.7,6.6,0.0,97.3,0,422,8,24,28
1201,4.1,21.7,6.7,-0.5,97.2,0,416,8,24,28
1202,3.9,21.7,6.6,-1.3,96.7,0,420,8,24,28
1203,3.8,21.7,6.7,-0.9,97.3,0,427,8,24,28
1204,3.5,21.7,6.7,-1.5,97.2,0,413,9,23,27
1205,3.5,21.7,6.7,-1.9,97.3,0,423,9,23,27
1206,3.3,21.8,6.6,-1.7,97.5,0,427,8,24,28
1207,3.2,21.7,6.7,-2.2,96.2,0,426,9,23,26
1208,2.9,21.5,6.6,-2.3,96.1,0,430,9,23,27
1209,2.8,21.6,6.7,-2.6,96.5,0,426,9,23,27
1210,2.8,21.6,6.6,-2.0,97.1,0,428,9,23,27
1211,2.8,21.7,6.7,-1.2,97.5,0,428,9,23,27
1212,2.6,21.7,6.6,-0.6,97.7,0,430,9,23,27
1213,2.8,21.9,6.7,-0.5,97.7,0,449,9,23,27
1214,,,,-0.7,97.1,0,450,9,23,27
1215,2.8,21.6,6.6,-0.5,97.5,0,438,9,23,27
1216,2.7,21.7,6.7,-0.9,97.5,0,439,9,23,27
1217,2.8,21.6,6.7,-0.2,97.8,0,456,9,23,26
1218,2.8,21.9,6.6,0.0,98.0,0,444,8,23,27
1219,2.8,21.6,6.7,0.0,97.8,0,443,9,23,27
1220,2.9,21.7,6.7,-0.1,98.1,0,448,9,23,27
1221,2.9,21.6,6.7,0.1,98.0,0,448,9,23,27
1222,2.8,21.6,6.7,0.0,98.1,0,445,9,23,27
1223,2.9,21.7,6.6,0.0,98.1,0,436,8,23,27
1224,2.8,21.7,6.7,0.2,98.1,0,448,9,23,27
1225,2.9,21.7,6.7,-0.1,98.1,0,443,9,23,27
1226,2.9,21.8,6.6,-0.1,97.9,0,451,8,23,27
1227,,,,0.4,98.3,193,450,8,23,28
1228,,,,1.0,98.5,322,446,8,24,28
1229,3.1,21.7,6.7,1.5,97.4,580,438,8,24,28
1230,3.1,21.9,6.7,2.6,96.1,967,446,8,24,28
1231,3.4,22.0,6.7,3.1,93.3,1096,433,8,24,28
1232,3.7,22.1,6.6,4.3,91.6,1161,430,8,24,28
1233,3.9,22.1,6.6,5.5,87.1,1290,421,8,24,28
1234,4.2,22.3,6.7,6.5,84.9,1096,428,8,24,29
1235,4.7,22.0,6.5,7.2,86.1,1290,446,8,24,29
1236,5.0,22.3,6.7,7.8,84.2,1290,437,8,25,29
1237,5.4,22.4,6.5,8.8,80.2,1096,421,8,25,29
1238,5.6,22.1,6.6,8.6,78.9,1096,427,8,25,30
1239,6.0,22.2,6.7,8.3,82.4,1096,443,8,25,30
1240,6.3,22.1,6.6,8.0,85.2,967,437,8,25,30
1241,6.4,22.3,6.6,7.7,87.4,903,473,8,25,30
1242,6.4,22.3,6.7,8.0,76.7,709,416,8,25,30
1243,6.3,22.3,6.7,6.1,91.5,516,447,8,25,30
1244,6.3,22.0,6.5,5.4,93.5,322,476,8,25,29
1245,6.0,21.9,6.7,4.1,95.2,129,452,8,25,29
1246,5.8,21.9,6.6,2.4,95.3,0,411,8,25,29
1247,,,,1.4,96.4,0,416,8,24,29
1248,5.1,21.8,6.7,1.3,97.1,0,416,8,24,29
1249,4.8,21.9,6.7,0.8,97.5,0,418,8,24,28
1250,4.6,21.6,6.7,0.2,97.8,0,421,8,24,28
1251,4.3,21.7,6.6,-0.1,97.8,0,420,8,24,28
1252,4.2,21.9,6.7,-0.2,98.0,0,421,8,24,28
1253,3.9,21.7,6.7,-0.2,97.7,0,425,8,24,28
1254,3.9,21.6,6.7,-0.6,97.7,0,420,8,24,28
1255,3.6,21.6,6.7,-0.7,97.8,0,425,8,23,28
1256,3.6,21.7,6.7,-1.4,97.4,0,427,8,23,27
1257,3.4,21.6,6.7,-0.6,97.8,0,431,9,23,26
1258,3.3,21.7,6.6,0.5,98.3,0,428,8,24,28
1259,3.4,21.6,6.7,0.9,98.4,0,433,8,24,28
1260,3.5,21.9,6.7,0.8,98.4,0,424,8,24,28
1261,3.5,21.9,6.7,1.1,98.5,0,445,8,24,28
1262,3.4,21.7,6.7,1.0,98.4,0,441,9,23,27
1263,3.6,21.9,6.7,0.6,98.3,0,450,8,24,28
1264,3.4,21.7,6.7,0.5,98.3,0,443,8,23,27
1265,3.4,21.9,6.6,0.1,98.2,0,442,8,23,27
1266,3.4,21.9,6.7,0.6,98.6,0,449,8,24,28
1267,,,,0.9,98.7,0,438,8,23,27
1268,,,,0.9,98.7,0,446,8,24,28
1269,3.4,21.8,6.7,1.2,98.7,0,450,8,24,28
1270,3.4,21.7,6.7,1.0,98.7,0,458,8,23,28
1271,,,,1.2,98.8,0,476,8,24,28
1272,3.6,21.7,6.7,1.1,98.7,0,454,8,24,28
1273,3.5,21.7,6.7,1.2,98.7,0,453,8,24,28
1274,3.4,21.9,6.7,1.1,98.7,0,453,8,23,28
1275,3.5,21.7,6.7,1.2,98.8,129,447,8,24,28
1276,3.6,21.8,6.7,1.9,98.9,258,451,8,24,28
1277,2.0,21.7,6.7,2.3,98.2,387,439,8,24,28
1278,3.6,21.9,6.6,2.9,97.5,709,448,8,24,28
1279,3.9,21.9,6.6,3.9,95.4,1096,446,8,24,28
1280,4.0,22.2,6.7,5.1,92.0,1290,433,8,24,28
1281,4.4,22.1,6.7,5.9,88.4,1483,429,8,24,29
1282,2.0,21.6,6.7,6.5,84.6,1419,417,8,24,29
1283,5.0,22.1,6.7,6.6,88.3,1354,418,8,25,29
1284,5.3,22.3,6.7,7.4,84.7,1612,409,8,25,29
1285,5.4,22.1,6.7,7.2,86.0,1225,409,8,25,29
1286,5.6,22.0,6.7,7.2,83.8,1096,413,8,24,29
1287,5.8,22.0,6.6,7.1,87.8,967,411,9,23,27
1288,5.9,22.2,6.7,7.1,84.8,967,433,8,25,29
1289,1.9,21.5,6.7,6.6,90.1,580,441,8,25,29
1290,5.9,22.0,6.6,5.9,88.4,580,449,8,25,30
1291,1.9,21.7,6.6,5.1,93.8,387,438,8,25,29
1292,2.0,21.5,6.6,4.2,95.3,193,450,8,25,29
1293,5.5,22.0,6.7,2.8,96.0,64,422,8,24,29
1294,5.3,21.8,6.7,0.9,97.1,0,411,8,24,28
1295,4.9,21.9,6.6,1.4,97.8,0,418,8,24,28
1296,4.8,21.8,6.7,0.4,97.6,0,421,8,24,28
1297,4.4,21.9,6.7,0.0,97.6,0,418,8,24,28
1298,4.2,21.7,6.7,0.0,97.7,0,422,9,23,27
1299,1.9,21.5,6.7,-0.7,97.4,0,423,9,23,27
1300,2.0,21.6,6.7,-0.5,97.5,0,426,9,23,27
1301,2.0,21.5,6.7,-0.4,97.6,0,420,8,24,28
1302,3.7,21.8,6.6,0.0,97.7,0,428,8,24,28
1303,3.7,21.7,6.7,-0.2,97.9,0,435,8,24,28
1304,3.5,22.1,6.7,0.3,97.9,0,441,8,24,28
1305,3.5,21.7,6.7,0.0,97.9,0,433,9,23,27
1306,3.5,21.6,6.7,0.1,97.7,0,445,8,24,28
1307,1.9,21.5,6.6,-0.5,97.5,0,428,8,23,28
1308,3.4,21.7,6.7,-0.9,97.5,0,431,9,23,26
1309,3.2,21.6,6.7,-1.3,97.2,0,434,9,23,27
1310,3.2,21.7,6.7,-1.7,97.4,0,435,9,23,27
1311,3.1,21.6,6.7,-2.1,97.2,0,437,9,23,27
1312,2.0,21.5,6.7,-1.9,97.2,0,429,9,23,26
1313,2.8,21.7,6.7,-2.3,96.8,0,423,9,23,27
1314,2.0,21.7,6.6,-2.6,96.8,0,428,9,23,26
1315,2.5,21.5,6.6,-2.4,95.4,0,436,9,23,27
1316,2.5,21.5,6.7,-2.7,93.9,0,437,9,23,27
1317,1.9,21.6,6.6,-2.8,96.2,0,443,9,23,27
1318,2.4,21.5,6.7,-3.1,96.0,0,433,9,23,27
1319,2.2,21.5,6.7,-3.2,95.6,0,448,9,23,27
1320,2.2,21.5,6.6,-3.4,95.1,0,447,9,23,27
1321,2.0,21.5,6.7,-2.8,95.2,0,446,9,23,27
1322,2.0,21.6,6.7,-2.2,96.9,193,436,9,23,26
1323,2.1,21.6,6.6,-1.0,97.7,258,444,9,22,26
1324,2.1,21.8,6.7,-0.2,97.6,645,438,9,23,27
1325,2.3,21.9,6.7,0.5,96.8,903,437,9,23,27
1326,2.4,21.7,6.7,1.7,94.9,1096,433,9,23,27
1327,2.1,21.5,6.7,3.2,90.9,1161,432,8,23,27
1328,3.1,22.0,6.7,4.1,88.4,1225,429,8,24,28
1329,3.5,21.9,6.7,6.0,85.7,1161,424,8,24,28
1330,3.9,22.0,6.7,6.1,84.0,1096,427,9,23,26
1331,4.3,22.1,6.6,7.2,80.2,1096,416,8,24,29
1332,4.8,22.4,6.7,8.0,83.6,1096,440,8,25,29
1333,5.1,22.2,6.7,8.3,79.9,1096,408,8,25,29
1334,5.4,22.2,6.7,8.2,75.5,1096,407,8,25,30
1335,5.8,22.1,6.6,8.1,84.8,967,407,8,25,29
1336,5.9,22.4,6.5,7.9,76.9,903,419,8,25,30
1337,2.1,21.5,6.7,6.7,89.7,709,465,8,25,30
1338,6.0,22.0,6.6,5.8,92.4,516,464,8,25,29
1339,5.9,22.0,6.6,5.0,94.7,322,515,8,25,29
1340,5.8,21.9,6.7,3.9,96.2,193,477,8,25,29
1341,5.5,22.0,6.7,2.5,96.0,0,411,8,24,28
1342,2.0,21.7,6.7,1.7,97.3,0,414,8,24,29
1343,4.9,21.7,6.7,1.3,97.8,0,416,9,23,27
1344,4.7,21.9,6.7,0.7,98.0,0,413,8,24,28
1345,4.4,21.7,6.6,0.3,98.2,0,416,8,24,28
1346,4.2,21.8,6.7,0.2,98.1,0,423,8,24,28
1347,4.0,21.7,6.7,0.0,98.0,0,420,8,24,28
1348,3.9,21.7,6.7,-0.4,97.8,0,420,9,23,27
1349,3.6,21.6,6.7,-1.1,97.4,0,424,8,24,28
1350,2.1,21.7,6.6,-1.0,97.4,0,423,8,24,28
1351,3.5,21.7,6.7,-0.9,97.4,0,430,8,24,28
1352,3.3,21.7,6.7,-1.1,97.8,0,419,9,23,27
1353,3.2,21.7,6.6,-1.5,97.0,0,419,9,23,27
1354,3.1,21.7,6.6,-1.7,97.0,0,421,9,23,27
1355,2.9,21.6,6.7,-1.6,96.6,0,434,9,23,27
1356,2.8,21.8,6.7,-1.6,97.2,0,425,9,23,27
1357,2.8,21.6,6.7,-1.9,97.2,0,422,9,23,27
1358,2.7,21.7,6.7,-1.8,96.9,0,427,9,23,27
1359,2.6,21.7,6.6,-2.0,96.2,0,430,9,23,27
1360,2.5,21.6,6.7,-2.2,96.8,0,426,9,23,27
1361,2.4,21.5,6.7,-2.1,95.9,0,444,9,23,27
1362,2.5,21.5,6.7,-2.2,95.4,0,439,9,23,27
1363,2.3,21.6,6.7,-2.3,96.8,0,437,9,23,27
1364,2.3,21.7,6.7,-2.4,96.5,0,446,9,23,27
1365,2.0,21.7,6.7,-2.6,95.7,0,448,9,23,27
1366,2.2,21.6,6.7,-2.7,95.7,0,442,9,23,27
1367,2.0,21.5,6.7,-1.3,97.3,258,444,9,23,26
1368,2.0,21.8,6.7,,,,,9,23,27
1369,2.1,21.6,6.7,,,,,9,23,27
1370,2.1,21.7,6.7,,,,,9,23,27
1371,2.1,21.7,6.7,,,,,9,23,27
1372,2.1,21.7,6.7,,,,,9,23,27
1373,,,,,,,,9,23,26
1374,2.1,21.6,6.6,,,,,9,23,27
1375,2.2,21.7,6.7,,,,,9,23,27
1376,2.3,21.6,6.7,,,,,9,23,27
1377,2.3,21.7,6.7,,,,,9,23,27
1378,,,,,,,,9,23,27
1379,2.5,21.8,6.7,,,,,9,23,27
1380,2.5,21.7,6.7,,,,,9,23,27
1381,2.6,21.7,6.6,,,,,9,23,27
1382,2.5,21.7,6.7,,,,,9,23,27
1383,2.7,21.9,6.7,,,,,9,23,27
1384,2.9,21.9,6.7,,,,,9,23,27
1385,2.9,21.9,6.6,5.7,99.7,193,418,9,23,27
1386,3.1,21.9,6.7,5.6,98.2,0,422,9,23,27
1387,3.2,21.8,6.7,8.0,98.3,0,420,8,23,28
1388,3.2,22.0,6.7,8.4,98.7,0,429,9,23,27
1389,3.4,22.1,6.7,9.5,97.3,0,425,8,24,28
1390,3.5,22.0,6.6,10.6,98.8,0,424,8,23,27
1391,3.6,22.1,6.7,11.6,99.0,387,407,8,24,28
1392,3.6,22.1,6.7,10.4,99.9,387,420,8,23,28
1393,3.8,22.0,6.6,8.7,99.9,0,428,8,24,28
1394,3.9,22.0,6.7,8.6,99.9,0,420,8,24,28
1395,3.9,22.1,6.7,10.0,99.9,193,408,8,24,28
1396,4.1,22.3,6.5,8.4,99.9,64,414,8,24,28
1397,4.1,22.3,6.7,8.1,99.9,0,410,8,24,28
1398,4.3,22.0,6.7,7.9,99.7,0,408,8,24,28
1399,4.3,22.1,6.7,7.9,98.4,0,410,8,24,28
1400,4.5,22.4,6.7,10.0,95.4,387,400,8,24,28
1401,4.7,22.1,6.7,10.3,98.6,709,394,8,24,28
1402,4.7,22.3,6.6,15.4,95.5,516,404,8,24,28
1403,,,,12.9,99.6,0,459,8,24,29
1404,4.9,22.4,6.5,15.3,98.7,0,461,8,24,29
1405,5.1,22.1,6.7,12.6,99.9,0,453,8,24,29
1406,5.1,22.2,6.7,12.5,99.9,0,451,8,25,29
1407,5.3,22.1,6.7,12.5,99.9,129,479,8,25,29
1408,5.3,22.1,6.6,15.4,98.3,903,505,8,25,29
1409,5.4,22.4,6.7,14.2,99.5,322,542,8,25,30
1410,5.5,22.2,6.6,15.0,99.9,0,476,8,25,29
1411,5.6,22.2,6.7,16.4,99.0,0,501,8,25,29
1412,5.6,22.2,6.7,10.6,99.9,0,480,8,25,29
1413,5.6,22.3,6.6,11.3,99.9,0,476,8,25,29
1414,5.8,22.2,6.6,12.5,99.9,0,467,8,25,29
1415,,,,15.8,99.9,967,724,8,25,29
1416,5.8,22.1,6.6,13.0,99.9,0,554,8,25,30
1417,5.9,22.0,6.6,10.4,99.8,0,579,8,25,29
1418,6.0,22.0,6.6,6.3,99.7,0,560,8,24,29
1419,6.0,22.1,6.6,7.9,99.4,0,511,8,25,29
1420,5.9,22.2,6.6,6.8,86.3,709,424,8,25,29
1421,5.9,22.0,6.7,8.9,99.8,0,485,8,25,29
1422,5.9,21.9,6.7,10.7,99.3,0,438,8,25,30
1423,5.8,22.2,6.7,6.1,99.9,64,537,8,25,29
1424,5.8,22.1,6.6,4.5,99.4,0,501,8,25,29
1425,5.9,21.9,6.7,5.1,99.1,0,513,8,25,29
1426,5.8,22.0,6.7,5.6,99.2,0,511,8,25,29
1427,5.8,21.9,6.7,6.4,98.9,0,467,8,25,29
1428,5.7,22.1,6.7,4.9,99.3,0,456,8,25,29
1429,5.8,22.0,6.7,11.9,99.9,1290,490,8,25,29
1430,,,,9.0,99.9,967,745,8,25,29
1431,5.5,21.9,6.7,7.2,99.9,0,526,8,25,30
1432,5.5,21.9,6.7,7.1,99.9,0,492,8,25,29
1433,5.5,21.9,6.7,7.3,98.9,0,563,8,25,29
1434,5.3,21.7,6.7,2.7,95.8,0,403,8,25,29
1435,5.3,21.9,6.7,7.4,98.8,0,505,8,24,29
1436,5.2,21.7,6.7,7.4,98.7,0,537,8,24,29
1437,5.1,21.7,6.6,8.8,98.6,193,614,8,24,29
1438,5.1,21.9,6.7,9.3,97.9,258,532,8,24,29
1439,,,,1.6,97.4,0,409,8,24,28
1440,5.0,21.7,6.7,3.6,98.0,0,475,8,24,29
1441,4.8,21.9,6.6,6.0,97.2,903,444,8,24,28
1442,4.8,21.9,6.7,2.6,99.1,0,545,8,24,28
1443,4.6,21.7,6.7,3.4,98.7,0,498,8,24,28
1444,4.7,21.9,6.6,4.1,98.5,0,509,8,24,28
1445,4.5,21.8,6.7,5.0,97.9,0,448,8,24,28
1446,4.4,21.7,6.7,9.5,98.7,322,606,8,24,28
1447,4.4,21.8,6.7,6.7,98.9,774,453,8,24,28
1448,4.4,21.6,6.7,1.9,98.9,0,545,8,24,28
1449,4.3,21.9,6.7,2.5,98.7,0,486,8,24,28
1450,4.2,21.8,6.7,2.6,97.8,0,453,8,24,28
1451,4.2,21.7,6.7,5.4,93.2,0,441,8,24,28
1452,4.1,21.9,6.7,6.9,92.1,709,455,8,24,28
1453,4.0,21.9,6.7,2.8,99.0,0,481,8,24,28
1454,4.0,21.7,6.7,2.5,96.8,0,447,8,24,28
1455,4.0,21.6,6.7,4.8,99.9,516,472,8,24,28
1456,3.9,21.6,6.7,3.2,99.3,0,455,8,24,28
1457,3.9,21.5,6.6,4.7,99.9,0,451,8,24,28
1458,3.9,21.6,6.7,10.5,99.7,193,694,8,24,28
1459,3.9,21.7,6.6,5.4,99.9,0,491,8,24,28
1460,3.8,21.6,6.7,5.1,99.9,0,513,8,24,28
1461,3.7,21.6,6.7,6.3,99.9,0,541,8,24,28
1462,3.7,21.6,6.6,6.8,99.9,0,482,8,23,28
1463,3.6,21.6,6.7,7.1,99.9,0,519,8,23,27
1464,3.6,21.7,6.7,9.2,99.9,709,510,8,24,28
1465,3.7,21.6,6.7,6.3,99.9,193,443,8,24,28
1466,3.6,21.6,6.7,4.8,99.9,0,477,8,24,28
1467,3.5,21.6,6.6,11.0,94.9,645,407,8,23,27
1468,3.4,21.8,6.7,11.5,96.2,1161,432,8,23,27
1469,3.4,21.7,6.6,8.3,99.9,903,488,8,23,27
1470,3.5,21.5,6.7,7.2,99.9,838,509,9,23,27
1471,3.5,21.7,6.7,1.7,99.2,0,498,8,24,28
1472,,,,2.3,99.4,0,491,8,23,27
1473,3.4,21.5,6.7,4.1,99.0,0,475,8,24,28
1474,3.3,21.6,6.7,4.4,99.9,0,555,9,23,27
1475,3.3,21.7,6.7,4.4,99.9,0,504,8,23,27
1476,3.2,21.7,6.7,4.3,99.9,0,437,8,23,27
1477,3.3,21.6,6.6,10.1,97.4,709,441,8,23,27
1478,,,,3.5,99.9,0,582,9,23,27
1479,3.1,21.5,6.7,3.5,99.9,0,540,9,23,27
1480,3.2,21.5,6.7,3.4,99.9,0,505,8,23,27
1481,3.0,21.8,6.7,3.3,99.6,0,475,9,23,27
1482,3.1,21.7,6.7,4.6,99.0,0,420,9,23,27
1483,2.9,21.5,6.7,10.0,97.2,709,417,9,23,27
1484,3.1,21.7,6.7,10.5,96.6,967,431,9,23,27
1485,3.1,21.7,6.6,4.5,99.9,0,426,9,23,27
1486,2.8,21.6,6.6,0.9,99.1,0,449,9,23,27
1487,2.8,21.6,6.6,2.2,98.9,0,426,9,23,27
1488,2.8,21.6,6.7,3.0,97.7,0,418,9,23,27
1489,2.9,21.7,6.7,4.6,99.9,451,510,9,23,27
1490,2.8,21.8,6.6,3.3,99.9,129,507,9,23,27
1491,2.8,21.5,6.7,3.0,99.4,0,467,9,23,27
1492,2.8,21.7,6.7,3.3,99.4,0,507,8,23,27
1493,2.8,21.6,6.7,3.6,99.4,0,679,9,23,27
1494,2.7,21.6,6.7,3.9,99.3,0,465,9,23,27
1495,2.7,21.7,6.6,6.8,99.7,709,459,9,23,27
1496,2.8,21.5,6.7,3.1,99.0,0,493,9,23,27
1497,2.7,21.5,6.7,5.0,97.7,0,465,9,23,27
1498,2.6,21.6,6.6,5.4,97.7,0,482,9,23,27
1499,2.6,21.6,6.7,4.2,97.6,0,498,9,23,27
1500,2.5,21.6,6.6,4.4,97.6,0,459,9,23,27
1501,2.6,21.7,6.7,5.7,97.5,0,470,9,23,27
1502,2.7,21.6,6.7,4.5,99.9,0,535,9,23,27
1503,2.5,21.5,6.7,6.4,99.9,0,478,9,23,27
1504,2.5,21.6,6.7,6.7,99.9,0,491,9,23,27
1505,2.5,21.7,6.7,6.5,99.9,0,518,9,23,27
1506,2.5,21.6,6.7,10.6,96.4,1096,437,9,23,27
1507,2.5,21.7,6.7,0.9,99.3,0,545,9,23,27
1508,2.4,21.6,6.7,1.6,99.4,0,498,9,23,27
1509,2.4,21.5,6.7,3.1,99.9,0,462,9,23,27
1510,2.4,21.6,6.7,3.1,99.8,0,473,9,23,27
1511,2.3,21.6,6.7,3.5,99.9,0,462,9,23,27
1512,2.4,21.5,6.7,1.1,99.4,0,523,9,23,27
1513,2.3,21.7,6.7,1.6,99.5,0,469,9,23,27
1514,2.3,21.5,6.7,5.5,99.7,0,443,9,23,27
1515,2.4,21.5,6.7,8.7,99.6,1032,482,9,23,27
1516,2.2,21.5,6.7,1.7,99.6,0,444,8,23,27
1517,2.3,21.5,6.7,2.8,99.3,0,446,9,23,27
1518,2.3,21.5,6.7,7.4,99.9,322,493,9,23,27
1519,2.3,21.6,6.7,4.7,99.8,0,416,9,23,27
1520,2.2,21.7,6.7,3.5,99.9,709,493,9,23,27
1521,,,,-0.3,99.8,0,474,9,23,27
1522,2.2,21.5,6.7,-0.4,99.8,0,465,9,23,27
1523,2.2,21.5,6.7,0.0,99.8,0,491,9,23,27
1524,,,,6.9,97.6,709,431,9,23,27
1525,2.1,21.7,6.7,-0.9,97.4,0,476,9,23,27
1526,2.2,21.7,6.7,1.2,97.3,0,469,9,23,27
1527,2.1,21.7,6.7,-2.7,96.0,0,423,9,23,27
1528,2.1,21.7,6.7,1.2,99.2,0,554,9,23,26
1529,2.1,21.6,6.7,1.3,99.2,0,544,9,23,27
1530,2.0,21.8,6.7,1.4,98.7,0,618,9,23,27
1531,2.0,21.5,6.7,5.0,99.9,838,465,9,23,27
1532,2.0,21.5,6.6,1.1,99.2,0,497,9,23,27
1533,2.0,21.5,6.7,1.4,98.8,0,505,9,23,27
1534,,,,3.2,99.3,0,495,9,23,27
1535,2.0,21.5,6.7,3.5,99.3,0,522,9,23,26
1536,2.0,21.7,6.7,4.0,99.4,0,493,9,23,27
1537,2.1,21.7,6.7,4.8,99.6,0,469,9,23,27
1538,1.9,21.7,6.7,4.9,99.5,0,444,9,23,27
1539,2.0,21.7,6.7,4.5,99.3,0,508,9,23,27
1540,2.0,21.6,6.7,1.2,98.9,258,511,9,23,26
1541,1.9,21.5,6.7,1.3,98.5,0,631,9,23,27
1542,1.9,21.7,6.7,3.9,98.9,0,501,9,23,27
1543,2.0,21.5,6.7,5.2,96.1,0,411,9,23,27
1544,,,,6.5,96.6,645,402,9,23,26
1545,1.9,21.7,6.7,2.1,99.5,258,438,9,23,27
1546,1.9,21.6,6.7,0.8,98.8,0,505,9,23,27
1547,2.1,21.7,6.6,0.4,98.0,0,559,9,23,27
1548,1.9,21.7,6.7,0.8,97.8,0,430,9,23,26
1549,2.1,21.6,6.7,6.6,97.9,387,493,9,23,27
1550,2.2,21.6,6.6,2.7,99.1,0,505,9,23,27
1551,2.1,21.6,6.7,4.1,99.4,0,648,9,23,27
1552,2.1,21.8,6.7,4.9,98.8,0,489,9,23,27
1553,2.1,21.6,6.7,5.3,98.8,0,538,9,23,27
1554,2.2,21.7,6.7,3.2,99.3,0,584,9,23,27
1555,2.3,21.8,6.6,3.7,99.2,0,490,9,23,27
1556,2.3,21.6,6.7,3.5,98.9,0,541,9,23,27
1557,2.3,21.7,6.7,1.9,99.3,645,489,9,23,27
1558,2.4,22.0,6.7,0.1,98.2,0,596,9,23,27
1559,2.4,22.0,6.6,1.9,98.7,0,539,9,23,27
1560,2.5,21.9,6.6,3.0,99.3,0,592,9,23,27
1561,2.5,21.7,6.7,2.9,99.0,0,508,9,23,27
1562,2.5,21.7,6.7,3.6,98.7,0,467,9,23,27
1563,2.7,21.7,6.7,2.9,99.1,0,664,9,23,27
1564,2.7,21.8,6.7,3.0,99.0,0,711,9,23,27
1565,2.8,21.8,6.7,3.4,99.5,193,598,8,23,27
